"friends";"compliments";"fans";"review_count";"votes";"user_id";"elite";"confidence(false)";"confidence(true)";"prediction(elite)"
52.0;31.0;6.0;96.0;286.0;"UTS9XcT14H2ZscRIf0MYHQ";"false";0.47676419965576594;0.5232358003442341;"true"
82.0;53.0;10.0;89.0;232.0;"h_TlJAgBfSXG4Yw7rkC1Kg";"false";0.17232711755421756;0.8276728824457824;"true"
15.0;33.0;6.0;114.0;691.0;"4INMf4ow0wLFNmOUElWEqA";"false";0.47676419965576594;0.5232358003442341;"true"
36.0;235.0;14.0;70.0;331.0;"TwrgpZxINOdAq6SCHJkqiw";"false";0.17232711755421756;0.8276728824457824;"true"
2.0;41.0;0.0;40.0;67.0;"Iy3WrSZxjGR0muMfNoEP9Q";"false";0.47676419965576594;0.5232358003442341;"true"
13.0;52.0;6.0;101.0;223.0;"3fLNS0peGzN-aqNTB7sZuA";"false";0.17232711755421756;0.8276728824457824;"true"
22.0;27.0;6.0;99.0;230.0;"4fJQVV3r8dTCIaXAVbBEbw";"false";0.47676419965576594;0.5232358003442341;"true"
12.0;262.0;6.0;103.0;742.0;"72bHPiLFhWIef-xxpppUAQ";"false";0.17232711755421756;0.8276728824457824;"true"
21.0;30.0;5.0;54.0;508.0;"8_RB3fs5Ywn_ECTmg139Gg";"false";0.47676419965576594;0.5232358003442341;"true"
64.0;355.0;22.0;129.0;672.0;"8jDi_dt7ldLOMggNSxC1hg";"false";0.17232711755421756;0.8276728824457824;"true"
49.0;84.0;11.0;96.0;387.0;"Y46j-EFxKQYAK38xMfykXA";"false";0.17232711755421756;0.8276728824457824;"true"
24.0;30.0;4.0;69.0;162.0;"NoK6cCUPn6T1le0ho96bPQ";"false";0.47676419965576594;0.5232358003442341;"true"
31.0;84.0;8.0;159.0;596.0;"m63hTH_layJHFrUSKjNDuw";"false";0.17232711755421756;0.8276728824457824;"true"
74.0;295.0;22.0;444.0;3434.0;"p7dvahRPZIWL7T6pFA_0dg";"false";0.17232711755421756;0.8276728824457824;"true"
9.0;33.0;5.0;215.0;507.0;"iCbqExhdBdLXMyHYRXEhGA";"false";0.47676419965576594;0.5232358003442341;"true"
0.0;29.0;4.0;175.0;213.0;"jqYPx10UNNT0bl0FoC2xSA";"false";0.47676419965576594;0.5232358003442341;"true"
9.0;65.0;6.0;179.0;361.0;"sjeBiFj9Q4Oly_A1CopERw";"false";0.17232711755421756;0.8276728824457824;"true"
45.0;93.0;13.0;441.0;884.0;"BdmONpWokIlU87ANsPs8Tg";"false";0.17232711755421756;0.8276728824457824;"true"
30.0;117.0;2.0;75.0;257.0;"BHwRX_SAdczBSNw2CJYiwg";"false";0.17232711755421756;0.8276728824457824;"true"
9.0;34.0;3.0;258.0;283.0;"LD9a3ZN7pNcUnTETd6f1GQ";"false";0.47676419965576594;0.5232358003442341;"true"
11.0;33.0;3.0;71.0;179.0;"6tOBqAvJrSI8e7Hd_0F4fQ";"false";0.47676419965576594;0.5232358003442341;"true"
6.0;33.0;8.0;237.0;287.0;"K4FAia2Iy5MVnmBLfS-mCg";"false";0.47676419965576594;0.5232358003442341;"true"
25.0;68.0;10.0;100.0;495.0;"ypX7n4T_YnpyZr8JyrSRZg";"false";0.17232711755421756;0.8276728824457824;"true"
17.0;71.0;3.0;120.0;384.0;"onWAVBpK5bbJGA80juMGBg";"false";0.17232711755421756;0.8276728824457824;"true"
5.0;27.0;2.0;75.0;349.0;"t3Qw3VNW5LNQke6ijykbag";"false";0.47676419965576594;0.5232358003442341;"true"
113.0;4797.0;121.0;308.0;9188.0;"D33jeqP1Zj0hUo0rD6JkDw";"false";0.17232711755421756;0.8276728824457824;"true"
77.0;78.0;8.0;132.0;188.0;"Nd_WTrCuLMpHIbR1RRMzSg";"false";0.17232711755421756;0.8276728824457824;"true"
59.0;93.0;20.0;283.0;1197.0;"xdWsnbaTEfBMVHttqZDHxg";"false";0.17232711755421756;0.8276728824457824;"true"
69.0;41.0;6.0;50.0;169.0;"ioYS-ZYUpTTN_WovSSe_og";"false";0.47676419965576594;0.5232358003442341;"true"
177.0;1357.0;42.0;203.0;5288.0;"oyKF6Zs4aEYjsFVV9nT2AQ";"false";0.17232711755421756;0.8276728824457824;"true"
159.0;58.0;6.0;220.0;490.0;"AzTPtN_WvmvRXtR_DIX_Ww";"false";0.17232711755421756;0.8276728824457824;"true"
81.0;54.0;8.0;91.0;236.0;"sM85cVMFGadKcOgrJGbznw";"false";0.17232711755421756;0.8276728824457824;"true"
1.0;31.0;3.0;55.0;466.0;"bqX_vS4xf2meXz64cLTcNg";"false";0.47676419965576594;0.5232358003442341;"true"
9.0;35.0;2.0;61.0;141.0;"fiElz5yl1mSkse--Jhameg";"false";0.47676419965576594;0.5232358003442341;"true"
